plasmid,fte,date,sop,eln,batch_record,plasmid_lot_number,lot_number_of_azenta_stock,azenta_concentration_listed,azenta_concentration_nanodrop,volume_azenta_stock,volume_water,final_concentration_nanodrop,final_concentration
1,Person 6,20251023,,ELN,P902 Plasmid stock calculator,20251023-1-P,10/16/2025 - Lot# 45946HK0926G_1_R1,1778,1670.7,869,6631,194.4,100.3924809
2,Person 6,20260408,,ELN,P902 Plasmid stock calculator - batches,20260408-2-P,10/15/2025 - Lot# 45945HK0925G.1,1541,1484.7,333,2217,191.3,98.79157199
