num,date_yymmdd,fte,lot,prepared_for,volume_per_tube,num_tubes,total_volume,type,assumed_expiry,comments
1,2026-04-02,Person 2/ Person 5,20260402-GR012-1,,1,208,208,,2026-10-01,
2,2026-04-02,Person 2/ Person 5,20260402-GR012-2,,0.2,61,12.2,,2026-10-01,
